"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=equus"
"Access Time","Thu 2017-02-02 21:29:11 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","equus"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0472"
"Records Found","1631"
"Records Returned","1631"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"193808","occ","","","19764","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","2621"
"193813","occ","","","19767","Equus idahoensis","species","46277","","Equus idahoensis","species","46277","Blancan","","4.9","1.8","2878"
"193818","occ","8587","","19770","Equus fromanius","species","46272","","Equus fromanius","species","50475","Blancan","","4.9","1.8","6294"
"193826","occ","8590","","19773","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","6294"
"193837","occ","8594","","19777","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","6294"
"193859","occ","8604","","19786","Equus fromanius","species","46272","","Equus fromanius","species","50475","Blancan","","4.9","1.8","6294"
"193870","occ","8607","","19793","Equus idahoensis","species","46277","","Equus idahoensis","species","46277","Blancan","","4.9","1.8","6294"
"193871","occ","8608","","19793","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","6294"
"193873","occ","8610","","19794","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","6294"
"193887","occ","8612","","19798","Equus fromanius","species","46272","","Equus fromanius","species","50475","Blancan","","4.9","1.8","6294"
"193891","occ","8614","","19800","Equus fromanius","species","46272","","Equus fromanius","species","50475","Blancan","","4.9","1.8","6294"
"193896","occ","8615","","19803","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","6294"
"193912","occ","8621","","19808","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","6294"
"194130","occ","8713","","19908","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","6294"
"194151","occ","8721","","19911","Equus idahoensis","species","46277","","Equus idahoensis","species","46277","Blancan","","4.9","1.8","6294"
"194158","occ","8724","","19912","Equus idahoensis","species","46277","","Equus idahoensis","species","46277","Blancan","","4.9","1.8","6294"
"194178","occ","8735","","19913","Equus idahoensis","species","46277","","Equus idahoensis","species","46277","Blancan","","4.9","1.8","6294"
"194192","occ","","","19915","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","3009"
"194213","occ","","","19921","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","1814"
"194244","occ","","","19924","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","1876"
"194245","occ","","","19924","Equus (Asinus ?) sp.","subgenus","162071","subjective synonym of","Equus","genus","42996","Blancan","","4.9","1.8","1876"
"194279","occ","","","19927","Equus cf. giganteus","species","46273","","Equus giganteus","species","46273","Blancan","","4.9","1.8","1894"
"194299","occ","","","19929","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","1876"
"194300","occ","","","19929","Equus cumminsii","species","46264","subjective synonym of","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","6254"
"194367","occ","","","19932","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","1905"
"194391","occ","8806","","19934","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","6294"
"194450","occ","","","19936","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","1894"
"194452","occ","","","19937","Equus simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","1876"
"194465","occ","8826","","19938","Equus sp.","genus","42996","","Equus","genus","42996","Blancan","","4.9","1.8","6294"
"194470","occ","","","19939","Equus cf. simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","1864"
"194506","occ","","","19941","Equus cf. simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","1460"
"194531","occ","","","19942","Equus cf. simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","1460"
"194561","occ","","","19944","Equus cf. simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","1460"
"194589","occ","","","19947","Equus cf. simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","1460"
"194595","occ","","","19948","Equus cf. simplicidens","species","46308","recombined as","Equus (Dolichohippus) simplicidens","species","46308","Blancan","","4.9","1.8","1460"
