Species	Status	min_age	max_age
Mesohippus	extinct	37.2	40.4
Mesohippus_texanus	extinct	37.2	40.4
Mesohippus_texanus	extinct	37.2	40.4
Mesohippus_texanus	extinct	37.2	40.4
Mesohippus_texanus	extinct	37.2	40.4
Mesohippus	extinct	33.9	40.4
Haplohippus_texanus	extinct	37.2	40.4
Epihippus_gracilis	extinct	37.2	40.4
Mesohippus_texanus	extinct	37.2	40.4
Equidae	extinct	37.2	40.4
Equidae	extinct	37.2	40.4
Mesohippus_texanus	extinct	37.2	40.4
Mesohippus_texanus	extinct	37.2	40.4
Mesohippus_bairdi	extinct	33.9	37.2
Mesohippus_westoni	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Mesohippus_bairdi	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Mesohippus_bairdi	extinct	33.9	37.2
Mesohippus_westoni	extinct	33.9	37.2
Mesohippus_propinquus	extinct	33.9	37.2
Miohippus_grandis	extinct	33.9	37.2
Mesohippus_westoni	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Mesohippus_bairdi	extinct	33.9	37.2
Mesohippus_bairdi	extinct	33.9	37.2
Mesohippus	extinct	33.9	37.2
Mesohippus_westoni	extinct	33.9	37.2
Mesohippus_propinquus	extinct	33.9	37.2
Mesohippus_bairdi	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Mesohippus_texanus	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Mesohippus_bairdi	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Mesohippus_bairdi	extinct	33.9	37.2
Mesohippus_bairdi	extinct	33.9	37.2
Mesohippus_bairdi	extinct	33.9	37.2
Mesohippus_bairdi	extinct	33.9	37.2
Mesohippus_bairdi	extinct	33.9	37.2
Miohippus_grandis	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Mesohippus	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Equidae	extinct	33.3	37.2
Mesohippus_bairdi	extinct	33.9	37.2
Mesohippus	extinct	33.9	37.2
Mesohippus_bairdi	extinct	33.9	37.2
Mesohippus_westoni	extinct	33.9	37.2
Miohippus_grandis	extinct	33.9	37.2
Mesohippus	extinct	33.9	37.2
Mesohippus_propinquus	extinct	33.9	37.2
Mesohippus_westoni	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Mesohippus_bairdi	extinct	33.9	37.2
Mesohippus_exoletus	extinct	33.9	37.2
Miohippus_grandis	extinct	33.9	37.2
Mesohippus_westoni	extinct	33.9	37.2
Miohippus_grandis	extinct	33.9	37.2
Mesohippus_westoni	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Mesohippus	extinct	33.9	37.2
Mesohippus_texanus	extinct	33.9	37.2
Mesohippus	extinct	33.9	40.4
Equidae	extinct	33.9	37.2
Mesohippus_westoni	extinct	33.9	37.2
Mesohippus_bairdi	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Equidae	extinct	33.9	37.2
Mesohippus	extinct	33.9	40.4
Miohippus_obliquidens	extinct	33.9	37.2
Mesohippus_bairdi	extinct	33.9	37.2
Mesohippus_bairdi	extinct	33.3	33.9
Miohippus	extinct	33.3	33.9
Mesohippus_bairdi	extinct	33.3	33.9
Mesohippus_bairdi	extinct	33.3	33.9
Miohippus_obliquidens	extinct	33.3	33.9
Miohippus_obliquidens	extinct	33.3	33.9
Mesohippus	extinct	33.3	33.9
Mesohippus	extinct	33.3	33.9
Mesohippus_bairdi	extinct	33.3	33.9
Mesohippus_bairdi	extinct	33.3	33.9
Mesohippus_bairdi	extinct	33.3	33.9
Mesohippus_bairdi	extinct	33.3	33.9
Mesohippus_bairdi	extinct	33.3	33.9
Miohippus_obliquidens	extinct	33.3	33.9
Mesohippus_bairdi	extinct	33.3	33.9
Miohippus_grandis	extinct	33.3	33.9
Mesohippus_bairdi	extinct	33.3	33.9
Mesohippus_bairdi	extinct	33.3	33.9
Miohippus_obliquidens	extinct	33.3	33.9
Mesohippus_bairdi	extinct	33.3	33.9
Equidae	extinct	33.3	33.9
Mesohippus	extinct	33.3	33.9
Mesohippus_exoletus	extinct	33.3	33.9
Equidae	extinct	33.3	33.9
Miohippus_obliquidens	extinct	33.3	33.9
Mesohippus_bairdi	extinct	33.3	33.9
Mesohippus_bairdi	extinct	33.3	33.9
Mesohippus_bairdi	extinct	33.3	33.9
Mesohippus_bairdi	extinct	33.3	33.9
Mesohippus_bairdi	extinct	33.3	33.9
Mesohippus_bairdi	extinct	33.3	33.9
Mesohippus_bairdi	extinct	33.3	33.9
Mesohippus_bairdi	extinct	33.3	33.9
Miohippus	extinct	33.3	33.9
Miohippus	extinct	33.3	33.9
Miohippus	extinct	33.3	33.9
Miohippus	extinct	33.3	33.9
Miohippus	extinct	33.3	33.9
Mesohippus_bairdi	extinct	33.3	33.9
Equidae	extinct	33.3	33.9
Miohippus_assiniboiensis	extinct	24.8	33.3
Miohippus_intermedius	extinct	24.8	33.3
Miohippus	extinct	24.8	33.3
Miohippus	extinct	30.8	33.3
Miohippus_obliquidens	extinct	30.8	33.3
Miohippus	extinct	33.3	33.9
Miohippus	extinct	30.8	33.3
Miohippus_obliquidens	extinct	24.8	33.3
Miohippus	extinct	30.8	33.3
Miohippus	extinct	30.8	33.3
Miohippus	extinct	30.8	33.3
Equidae	extinct	30.8	33.3
Miohippus_obliquidens	extinct	30.8	33.3
Miohippus_intermedius	extinct	30.8	33.3
Miohippus_gidleyi	extinct	30.8	33.3
Miohippus_annectens	extinct	30.8	33.3
Miohippus	extinct	30.8	33.3
Equidae	extinct	30.8	33.3
Miohippus_equiceps	extinct	30.8	33.3
Equidae	extinct	30.8	33.3
Miohippus	extinct	30.8	33.3
Miohippus	extinct	30.8	33.3
Miohippus_equinanus	extinct	20.43	30.8
Miohippus_equinanus	extinct	20.43	24.8
Miohippus_gemmarosae	extinct	20.43	24.8
Parahippus_pristinus	extinct	20.43	24.8
Miohippus_equinanus	extinct	20.43	30.8
Miohippus_equinanus	extinct	20.43	30.8
Parahippus_pristinus	extinct	20.43	30.8
Miohippus	extinct	20.43	30.8
Miohippus	extinct	20.43	30.8
Miohippus	extinct	24.8	30.8
Miohippus_intermedius	extinct	26.3	30.8
Miohippus_intermedius	extinct	26.3	30.8
Equidae	extinct	20.43	30.8
Miohippus	extinct	20.43	30.8
Miohippus_annectens	extinct	20.43	30.8
Miohippus_anceps	extinct	20.43	30.8
Miohippus_equiceps	extinct	20.43	30.8
Kalobatippus_avus	extinct	20.43	30.8
Miohippus_obliquidens	extinct	20.43	30.8
Miohippus	extinct	24.8	26.3
Miohippus_annectens	extinct	20.43	30.8
Kalobatippus	extinct	20.43	30.8
Miohippus	extinct	20.43	30.8
Miohippus_intermedius	extinct	20.43	30.8
Miohippus	extinct	20.43	30.8
Miohippus	extinct	20.43	30.8
Miohippus	extinct	20.43	30.8
Miohippus_gemmarosae	extinct	24.8	26.3
Miohippus_equinanus	extinct	24.8	26.3
Miohippus_intermedius	extinct	20.43	30.8
Miohippus_gemmarosae	extinct	20.43	30.8
Miohippus	extinct	20.43	30.8
Miohippus_equiceps	extinct	26.3	30.8
Miohippus_equinanus	extinct	26.3	30.8
Miohippus_equiceps	extinct	26.3	30.8
Miohippus_equiceps	extinct	26.3	30.8
Miohippus_equinanus	extinct	26.3	30.8
